Insegna,Tipo via,Via,Civico,Codice via,Municipio,Accesso,Isolato,Presso,Forma commercio prevalente,Forma commercio secondaria,Forma vendita,Superficie somministrazione,Bar caffè,Bar gastronomici e simili,Biliardo,Bocce,Carte,Cibi cotti preconfezionati,Discoteche,Genere merceol.autorizz.sanit.,Giochi legge 388/2000,Mensa,Pizzeria,Prodotti di gastronomia,Ristorante,Spaccio bevande analcoliche,Tavola calda,Tavola fredda,Fast food,Osteria,Self service,Trattoria,context_type,IsAnomaly
c/o niguarda ca granda,PIAZZA,OSPEDALE MAGGIORE,3,1523,9,accesso interno,0,Non specificato,somministrazione,Assente,al banco,78.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
coffee design triennale m,VIALE,ALEMAGNA EMILIO,6,7106,1,accesso interno,0,Non specificato,somministrazione,Assente,al banco,138.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,SERIO,15,4130,5,accesso interno,0,Non specificato,somministrazione,Assente,al banco,205.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,BUENOS AIRES,36,2129,3,accesso interno,0,Non specificato,somministrazione,Assente,al banco,39.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,MATTEOTTI GIACOMO,7,218,1,accesso interno,0,Non specificato,somministrazione,Assente,al banco,91.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
mensa int.consama scarl.,LARGO,DOMODOSSOLA,1,6140,8,accesso interno,0,Non specificato,somministrazione,Assente,al banco,143.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZALE,LOTTO LORENZO,15,6539,8,accesso interno,0,lido di milano,somministrazione,Assente,al banco,94.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
bar caffe,PIAZZA,CADUTI DEL LAVORO,5,5249,5,accesso interno,0,Non specificato,somministrazione,Assente,al banco,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,horeca,False
Non specificata,PIAZZA,CASTELLO,000,704,1,accesso interno,0,Non specificato,somministrazione,Assente,al banco,94.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,DUCA D'AOSTA,S.N.C.,1200,2,accesso interno,0,Non specificato,somministrazione,Assente,al banco,81.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,ESQUILINO,9,6533,7,accesso interno,0,Non specificato,somministrazione,Assente,al banco,263.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,LUIGI DI SAVOIA,1,2260,2,accesso interno,0,Non specificato,somministrazione,Assente,al banco,159.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,STUPARICH CARLO,1,6468,8,accesso interno,0,palalido,somministrazione,Assente,al banco,69.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,ALSERIO,5,1153,9,accesso interno,0,Non specificato,somministrazione,Assente,al banco,42.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,AMPERE ANDREA MARIA,20,2428,3,accesso interno,0,Non specificato,somministrazione,Assente,al banco,25.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,ARPINO,11,6331,7,accesso interno,0,Non specificato,somministrazione,Assente,al banco,166.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,BELGIOIOSO CRISTINA,120,7501,8,accesso interno,0,Non specificato,somministrazione,Assente,al banco,67.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
